"type";"nameDe";"nameFr";"address";"location";"zip";"descriptionDe";"descriptionFr";"coordinates";"offers";"hasWalkIn";"appointmentType";"externalLinkDe";"externalLinkFr";"vacTypes";"openingHoursDe";"openingHoursFr";"dateTimeRangeStart";"dateTimeRangeStop"
"Impftruck";"Impftruck - Bätterkinden";"Camion de vaccination Bätterkinden";"Landshutstrasse 27";"Bätterkinden";"3315";"Saal Anlage Bätterkinden SAB";"Saal Anlage Bätterkinden SAB";"47.13309314717262, 7.544404798580122";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr ";"10:00 à 16:00";"2021-11-26T10:00:00";"2021-11-26T16:00:00"
"mobile Einheit";"mobile Einheit - Bönigen";"Equipe mobile - Bönigen";"Sinsaal";"Bönigen";"3806";;;"46.67721289270774, 7.8864176741127165";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 11:30 Uhr";"09:00 à 11:30";"2021-11-24T09:00:00";"2021-11-24T11:30:00"
"mobile Einheit";"mobile Einheit - Bönigen";"Equipe mobile - Bönigen";"Sinsaal";"Bönigen";"3806";;;"46.67721289270774, 7.8864176741127165";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 11:30 Uhr";"09:00 à 11:30";"2021-12-22T09:00:00";"2021-12-22T11:30:00"
"Impftruck";"Impftruck - Biel";"Camion de vaccination - Bienne";"Place du Marché-Neuf (Neumarktplatz)";"Biel ";"2502";;;"47.14097771795413, 7.24818989858036";"1";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr ";"10:00 à 16:00";"2021-11-10T10:00:00";"2021-11-10T16:00:00"
"mobile Einheit";"mobile Einheit - Biel Stadt";"Equipe mobile - Bienne Ville";"Palais des Congrès Bienne";"Biel ";"2501";;;"47.135056144224755, 7.248003998580203";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-11-19T09:00:00";"2021-11-19T16:00:00"
"mobile Einheit";"mobile Einheit - Biel";"Equipe mobile - Bienne";"Rue de la Gare 50 ";"Biel ";"2502";"Integrationsabteilung ";"Service de l'intégration";"47.136116540731805, 7.246274898580169";"1,2";"true";"2";;;"mRNA";"von 13:00 Uhr bis 18:00 Uhr ";"13:00 à 18:00";"2021-11-23T13:00:00";"2021-11-23T18:00:00"
"mobile Einheit";"mobile Einheit - Boltigen";"Equipe mobile - Boltigen";"Weissenbach 530a";"Boltigen";"3766";"Schulhaus Weissenbach";"Ecole Weissenbach";"46.6091384691592, 7.376453271585326";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 12:00 Uhr";"09:00 à 12:00";"2021-11-17T09:00:00";"2021-11-17T12:00:00"
"mobile Einheit";"mobile Einheit - Boltigen";"Equipe mobile - Boltigen";"Weissenbach 530a";"Boltigen";"3766";"Schulhaus Weissenbach";"Ecole Weissenbach";"46.6091384691592, 7.376453271585326";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 12:00 Uhr";"09:00 à 12:00";"2021-12-15T09:00:00";"2021-12-15T12:00:00"
"Impftruck";"Impftruck - Centre Brügg";"Camion de vaccination - Centre Brügg";"Erlenstrasse 40 ";"Brügg";"2555";"Centre Brügg";"Centre Brügg";"47.119964392051784, 7.267042567891394";"1";"true";"2";;;"mRNA";"von 11:00 Uhr bis 17:00 Uhr ";"11:00 à 17:00";"2021-11-13T11:00:00";"2021-11-13T17:00:00"
"mobile Einheit";"mobile Einheit - Brügg";"Equipe mobile - Brügg";"Erlenstrasse 11";"Brügg";"2555";"Mehrzweckhalle";"Salle polyvalente";"47.1193817951411, 7.272981240907715";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-11-16T00:00:00";"2021-11-16T00:00:00"
"mobile Einheit";"mobile Einheit - Brügg";"Equipe mobile - Brügg";"Erlenstrasse 11";"Brügg";"2555";"Mehrzweckhalle";"Salle polyvalente";"47.1193817951411, 7.272981240907715";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-12-14T00:00:00";"2021-12-14T00:00:00"
"Impftruck";"Impftruck - Brienz";"Camion de vaccination - Brienz";"Hauptstrasse 283";"Brienz";"3855";;;"46.74620846224636, 8.057652225555504";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr ";"10:00 à 16:00";"2021-11-17T10:00:00";"2021-11-17T16:00:00"
"Impftruck";"Impftruck - Burgdorf";"Camion de vaccination - Burgdorf";"Sägegasse 19";"Burgdorf";"3400";"Markthalle Burgdorf AG";"Halle de marché Burgdorf AG";"47.054785622399066, 7.630612336859319";"1";"true";"2";;;"mRNA ";"von 12:00 Uhr bis 18:00 Uhr";"10:00 à 16:00";"2021-11-02T12:00:00";"2021-11-02T18:00:00"
"Impftruck";"Impftruck - Burgdorf";"Camion de vaccination - Burgdorf ";"Sägegasse 19";"Burgdorf";"3400";"Markthalle Burgdorf AG";"Halle de marché Burgdorf AG";"47.054712526928384, 7.630698167890028";"1,2";"true";"2";;;"mRNA";"von 12:00 Uhr bis 18:00 Uhr ";"12:00 à 18:00";"2021-11-30T12:00:00";"2021-11-30T18:00:00"
"Impftruck";"Impftruck - Burgdorf";"Camion de vaccination - Burgdorf ";"Sägegasse 19";"Burgdorf";"3400";"Markthalle Burgdorf AG";"Halle de marché Burgdorf AG";"47.054712526928384, 7.630698167890028";"1,2";"true";"2";;;"mRNA";"von 12:00 Uhr bis 18:00 Uhr ";"12:00 à 18:00";"2021-11-29T12:00:00";"2021-11-29T18:00:00"
"Impftruck";"Impftruck - Burgdorf";"Camion de vaccination - Burgdorf ";"Sägegasse 19";"Burgdorf";"3400";"Markthalle Burgdorf AG";"Halle de marché Burgdorf AG";"47.054712526928384, 7.630698167890028";"1,2";"true";"2";;;"mRNA";"von 08:00 Uhr bis 16:00 Uhr ";"08:00 à 16:00";"2021-12-16T08:00:00";"2021-12-16T16:00:00"
"mobile Einheit";"mobile Einheit - Champoz";"Equipe mobile - Champoz";"Clos Vautier 24c";"Champoz";"2735";"Gemeinschaftliche Unterkunft";"Abri comminal";"47.25834553771341, 7.297003340910694";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 18:00 Uhr";"10:00 à 18:00";"2021-11-15T10:00:00";"2021-11-15T18:00:00"
"mobile Einheit";"mobile Einheit - Cormoret";"Equipe mobile - Cormoret";"Vielle route 4";"Cormoret";"2612";"Mehrzweckhalle";"Halle Polyvalente";"47.175508838930746, 7.055338483236798";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 18:00 Uhr";"10:00 à 18:00";"2021-11-18T10:00:00";"2021-11-18T18:00:00"
"mobile Einheit";"mobile Einheit - Cortébert";"Equipe mobile - Cortébert ";"Grand-rue 21";"Cortébert";"2607";"Mehrzweckhalle";"Halle Polyvalente";"47.1915951671116, 7.1100992850896025";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 18:00 Uhr";"10:00 à 18:00";"2021-11-11T10:00:00";"2021-11-11T18:00:00"
"mobile Einheit";"mobile Einheit - Crémines";"Equipe mobile - Crémines";"Rue du Collège 7";"Crémines";"2746";"Sporthalle";"Halle de gymnastique";"47.28344459852773, 7.4415929274194665";"1";"true";"2";;;"mRNA";"von 10:00 Uhr bis 18:00 Uhr";"10:00 à 18:00";"2021-11-11T10:00:00";"2021-11-11T18:00:00"
"mobile Einheit";"mobile Einheit - Därligen";"Equipe mobile - Därligen";"Chrützweg 2";"Därligen";"3707";"Gemeindeverwaltung";"Administration municipale";"46.6621396799354, 7.809634869734035";"1,2";"true";"2";;;"mRNA";"von 16:30 Uhr bis 18:30 Uhr";"16:30 à 18:30";"2021-11-25T16:30:00";"2021-11-25T18:30:00"
"mobile Einheit";"mobile Einheit - Därligen";"Equipe mobile - Därligen";"Chrützweg 2";"Därligen";"3707";"Gemeindeverwaltung";"Administration municipale";"46.6621396799354, 7.809634869734035";"1,2";"true";"2";;;"mRNA";"von 16:30 Uhr bis 18:30 Uhr";"16:30 à 18:30";"2021-12-23T16:30:00";"2021-12-23T18:30:00"
"mobile Einheit";"mobile Einheit - Leubringen";"Equipe mobile - Leubringen";"Chemin de la Baumes 1";"Evilard";"2533";;;"47.149707409783176, 7.238558182902077";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-11-24T09:00:00";"2021-11-24T16:00:00"
"mobile Einheit";"mobile Einheit - Leubringen";"Equipe mobile - Leubringen";"Chemin de la Baumes 1";"Evilard";"2533";;;"47.149707409783176, 7.238558182902077";"1,2";"true";"2";;;"mRNA";"von 09:00 Uhr bis 16:00 Uhr";"09:00 à 16:00";"2021-12-22T09:00:00";"2021-12-22T16:00:00"
"mobile Einheit";"mobile Einheit - Gsteig";"Equipe mobile - Gsteig";"Gässli 1";"Feutersoey";"3784";"Mehrzweckraum ehemaliges Schulhaus";"Salle polyvalente de l'ancien bâtiment scolaire";"46.41516839195059, 7.2708463408927235";"1";"true";"2";;;"mRNA";"von 09:30 Uhr bis 12:30 Uhr";"09:30 à 12:30";"2021-11-08T09:30:00";"2021-11-08T12:30:00"
"mobile Einheit";"mobile Einheit - Gsteig";"Equipe mobile - Gsteig";"Gässli 1";"Feutersoey";"3784";"Mehrzweckraum ehemaliges Schulhaus";"Salle polyvalente de l'ancien bâtiment scolaire";"46.41516839195059, 7.2708463408927235";"1,2";"true";"2";;;"mRNA";"von 09:30 Uhr bis 12:30 Uhr";"09:30 à 12:30";"2021-12-06T09:30:00";"2021-12-06T12:30:00"
"Impftruck";"Impftruck - Frutigen ";"Camion de vaccination - Frutigen";"Marktplatz";"Frutigen ";"3714";"Marktplatz";"Place de marché";"46.58727700064507, 7.64419781160716";"1";"true";"2";;;"mRNA";"von 10:00 Uhr bis 16:00 Uhr ";"10:00 à 16:00";"2021-11-04T10:00:00";"2021-11-04T16:00:00"
"Impftruck";"Impftruck - Frutigen ";"Camion de vaccinatin - Frutigen";"Marktplatz";"Frutigen ";"3714";"Marktplatz";"Place de marché";"46.58727700064507, 7.64419781160716";"1,2";"true";"2";;;"mRNA";"von 10:00 Uhr bis 18:00 Uhr ";"10:00 à 18:00";"2021-12-02T10:00:00";"2021-12-02T18:00:00"
